1	United States	   575,000,000.00
2	China	   417,000,000.00
3	Japan	   120,500,000.00
4	India	   116,000,000.00
5	United Kingdom	    84,500,000.00
6	Germany	    77,800,000.00
7	Brazil	    71,000,000.00
8	Russia	    61,500,000.00
9	France	    55,300,000.00
10	Italy	    50,500,000.00
11	Korea, South	    47,500,000.00
12	Ukraine	    45,050,000.00
13	Canada	    32,300,000.00
14	Indonesia	    31,500,000.00
15	Mexico	    31,000,000.00
16	Australia	    25,500,000.00
17	Argentina	    24,300,000.00
18	Nigeria	    23,500,000.00
19	Colombia	    21,000,000.00
20	Egypt	    20,500,000.00
21	Poland	    20,200,000.00
22	Congo, Democratic Republic of the	    18,030,000.00
23	South Africa	    17,000,000.00
24	Iran	    17,000,000.00
25	Taiwan	    16,000,000.00
26	Netherlands	    15,300,000.00
27	Ethiopia	    15,200,000.00
28	Thailand	    13,960,000.00
29	Pakistan	    13,500,000.00
30	Spain	    13,100,000.00
31	Ghana	    12,500,000.00
32	Philippines	    11,500,000.00
33	Turkey	    11,300,000.00
34	Malaysia	    10,900,000.00
35	Uzbekistan	    10,800,000.00
36	Venezuela	    10,750,000.00
37	Tanzania	     8,800,000.00
38	Sweden	     8,250,000.00
39	Vietnam	     8,200,000.00
40	Belgium	     8,075,000.00
41	Finland	     7,700,000.00
42	Sudan	     7,550,000.00
43	Romania	     7,200,000.00
44	Algeria	     7,100,000.00
45	Switzerland	     7,100,000.00
46	Hungary	     7,010,000.00
47	Peru	     6,650,000.00
48	Morocco	     6,640,000.00
49	Kazakhstan	     6,470,000.00
50	Saudi Arabia	     6,250,000.00
51	Bangladesh	     6,150,000.00
52	Austria	     6,080,000.00
53	Denmark	     6,020,000.00
54	Bolivia	     5,250,000.00
55	Chile	     5,180,000.00
56	Greece	     5,020,000.00
57	Uganda	     5,000,000.00
58	Ecuador	     5,000,000.00
59	Iraq	     4,850,000.00
60	Bulgaria	     4,510,000.00
61	Hong Kong	     4,450,000.00
62	Burma	     4,200,000.00
63	Syria	     4,150,000.00
64	Norway	     4,030,000.00
65	Cuba	     3,900,000.00
66	Sri Lanka	     3,850,000.00
67	New Zealand	     3,750,000.00
68	Korea, North	     3,360,000.00
69	Moldova	     3,220,000.00
70	Czech Republic	     3,159,134.00
71	Slovakia	     3,120,000.00
72	Kenya	     3,070,000.00
73	Israel	     3,070,000.00
74	Madagascar	     3,050,000.00
75	Georgia	     3,020,000.00
76	Portugal	     3,020,000.00
77	Belarus	     3,020,000.00
78	Lebanon	     2,850,000.00
79	El Salvador	     2,750,000.00
80	Puerto Rico	     2,700,000.00
81	Malawi	     2,600,000.00
82	Singapore	     2,600,000.00
83	Ireland	     2,550,000.00
84	Honduras	     2,450,000.00
85	Cameroon	     2,270,000.00
86	Cote d'Ivoire	     2,260,000.00
87	Tunisia	     2,060,000.00
88	Uruguay	     1,970,000.00
89	Lithuania	     1,900,000.00
90	Latvia	     1,760,000.00
91	Chad	     1,670,000.00
92	Jordan	     1,660,000.00
93	Croatia	     1,510,000.00
94	Dominican Republic	     1,440,000.00
95	Oman	     1,400,000.00
96	Libya	     1,350,000.00
97	Cambodia	     1,340,000.00
98	Tajikistan	     1,291,000.00
99	Senegal	     1,240,000.00
100	Nicaragua	     1,240,000.00
101	Turkmenistan	     1,225,000.00
102	Jamaica	     1,215,000.00
103	Zambia	     1,200,000.00
104	Kuwait	     1,175,000.00
105	Zimbabwe	     1,140,000.00
106	Sierra Leone	     1,120,000.00
107	Yemen	     1,050,000.00
108	Estonia	     1,010,000.00
109	Albania	     1,000,000.00
110	Costa Rica	      980,000.00
111	Togo	      940,000.00
112	Bosnia and Herzegovina	      940,000.00
113	Paraguay	      925,000.00
114	Armenia	      850,000.00
115	Nepal	      840,000.00
116	Guatemala	      835,000.00
117	United Arab Emirates	      820,000.00
118	Panama	      815,000.00
119	Angola	      815,000.00
120	Slovenia	      805,000.00
121	Liberia	      790,000.00
122	Laos	      730,000.00
123	Mozambique	      730,000.00
124	Trinidad and Tobago	      680,000.00
125	Niger	      680,000.00
126	Benin	      660,000.00
127	Rwanda	      601,000.00
128	Mali	      570,000.00
129	Fiji	      541,476.00
130	Kyrgyzstan	      520,000.00
131	Somalia	      470,000.00
132	Burundi	      440,000.00
133	Mauritius	      420,000.00
134	Guyana	      420,000.00
