1	Zimbabwe	           4.31
2	Niger	           3.64
3	Uganda	           3.58
4	Turks and Caicos Islands	           3.49
5	Burundi	           3.46
6	United Arab Emirates	           3.28
7	Gaza Strip	           3.20
8	Ethiopia	           3.19
9	Western Sahara	           3.10
10	Burkina Faso	           3.09
11	Zambia	           3.06
12	Madagascar	           2.97
13	Benin	           2.91
14	Congo, Republic of the	           2.84
15	Bahrain	           2.81
16	Rwanda	           2.79
17	Malawi	           2.76
18	Togo	           2.76
19	Comoros	           2.70
20	Liberia	           2.66
21	Yemen	           2.65
22	Guinea	           2.65
23	Equatorial Guinea	           2.64
24	Congo, Democratic Republic of the	           2.61
25	Mali	           2.61
26	Senegal	           2.56
27	Sudan	           2.48
28	Eritrea	           2.47
29	Kenya	           2.46
30	Mozambique	           2.44
31	Iraq	           2.40
32	Gambia, The	           2.40
33	Afghanistan	           2.38
34	Mauritania	           2.35
35	Cayman Islands	           2.29
36	Sierra Leone	           2.25
37	Djibouti	           2.24
38	Solomon Islands	           2.22
39	Anguilla	           2.17
40	Central African Republic	           2.15
41	Cameroon	           2.12
42	West Bank	           2.10
43	Cote d'Ivoire	           2.08
44	Libya	           2.06
45	Belize	           2.06
46	Sao Tome and Principe	           2.05
47	Angola	           2.03
48	Oman	           2.02
49	Chad	           2.01
50	Tanzania	           2.00
51	Gabon	           2.00
52	Guinea-Bissau	           1.99
53	Kuwait	           1.99
54	Guatemala	           1.99
55	Papua New Guinea	           1.99
56	Timor-Leste	           1.98
57	Egypt	           1.96
58	Marshall Islands	           1.95
59	Nigeria	           1.94
60	Philippines	           1.90
61	Honduras	           1.89
62	Tajikistan	           1.85
63	Ghana	           1.82
64	British Virgin Islands	           1.74
65	Brunei	           1.71
66	Cambodia	           1.70
67	Bolivia	           1.69
68	Laos	           1.68
69	Botswana	           1.66
70	Cyprus	           1.62
71	Somalia	           1.60
72	Nepal	           1.60
73	Israel	           1.58
74	Malaysia	           1.58
75	Pakistan	           1.57
76	Bangladesh	           1.57
77	Saudi Arabia	           1.54
78	New Caledonia	           1.52
79	Venezuela	           1.49
80	Mongolia	           1.49
81	Cape Verde	           1.45
82	Ecuador	           1.44
83	Aruba	           1.44
84	Panama	           1.44
85	Kyrgyzstan	           1.43
86	India	           1.34
87	Vanuatu	           1.34
88	Dominican Republic	           1.33
89	French Polynesia	           1.33
90	Costa Rica	           1.31
91	Antigua and Barbuda	           1.29
92	Paraguay	           1.28
93	Kiribati	           1.25
94	Iran	           1.25
