1	United States	         226,427
2	Russia	          87,157
3	China	          86,000
4	India	          63,974
5	Canada	          46,552
6	Germany	          41,981
7	Australia	          38,445
8	Argentina	          36,966
9	France	          29,640
10	Brazil	          28,538
11	Japan	          26,435
12	Poland	          22,314
13	Ukraine	          21,658
14	South Africa	          20,872
15	Italy	          20,254
16	Mexico	          17,166
17	United Kingdom	          16,454
18	Spain	          15,288
19	Kazakhstan	          15,079
20	Sweden	          11,633
21	Romania	          10,784
22	Czech Republic	           9,632
23	Hungary	           9,208
24	Turkey	           8,697
25	Cuba	           8,598
26	Iran	           8,442
27	Pakistan	           7,791
28	Chile	           7,082
29	Austria	           6,399
30	Sudan	           5,978
31	Finland	           5,919
32	Belarus	           5,537
33	Korea, North	           5,242
34	Egypt	           5,083
35	Indonesia	           5,042
36	Burma	           5,031
37	Switzerland	           4,888
38	Mozambique	           4,787
39	Bulgaria	           4,151
40	New Zealand	           4,128
41	Norway	           4,114
42	Thailand	           4,071
43	Congo, Democratic Republic of the	           4,007
44	Algeria	           3,973
45	Tanzania	           3,689
46	Bolivia	           3,652
47	Uzbekistan	           3,645
48	Slovakia	           3,622
49	Nigeria	           3,505
50	Korea, South	           3,381
51	Serbia	           3,379
52	Ireland	           3,237
53	Belgium	           3,233
54	Zimbabwe	           3,077
55	Turkmenistan	           2,980
56	Azerbaijan	           2,918
57	Netherlands	           2,896
58	Portugal	           2,786
59	Angola	           2,764
60	Croatia	           2,722
61	Denmark	           2,667
62	Namibia	           2,626
63	Bangladesh	           2,622
64	Greece	           2,548
65	Vietnam	           2,347
66	Iraq	           2,272
67	Latvia	           2,239
68	Tunisia	           2,167
69	Zambia	           2,157
70	Morocco	           2,067
71	Kenya	           2,066
72	Syria	           2,052
73	Peru	           2,020
74	Mongolia	           1,908
75	Malaysia	           1,849
76	Lithuania	           1,767
77	Uruguay	           1,641
78	Georgia	           1,612
79	Taiwan	           1,482
80	Sri Lanka	           1,449
81	Saudi Arabia	           1,392
82	Uganda	           1,244
83	Slovenia	           1,228
84	Estonia	           1,196
85	Moldova	           1,190
86	Guinea	           1,185
87	Philippines	            995
88	Cameroon	            987
89	Israel	            975
90	Ecuador	            965
91	Ghana	            947
92	Senegal	            906
93	Botswana	            888
94	Congo, Republic of the	            886
95	Colombia	            874
96	Armenia	            869
97	Madagascar	            854
98	Venezuela	            806
99	Malawi	            797
100	Macedonia	            699
101	Cambodia	            690
102	Ethiopia	            681
103	Tajikistan	            680
104	Cote d'Ivoire	            660
105	Gabon	            649
106	Burkina Faso	            622
107	Bosnia and Herzegovina	            601
108	Fiji	            597
109	Mali	            593
110	Togo	            532
111	Jordan	            507
112	Kyrgyzstan	            470
113	Benin	            438
114	Kosovo	            430
115	Liberia	            429
116	Lebanon	            401
117	Albania	            339
118	Guatemala	            332
119	Eritrea	            306
120	Swaziland	            301
121	El Salvador	            283
122	Costa Rica	            278
123	Luxembourg	            275
124	Montenegro	            250
125	Dominican Republic	            142
126	Djibouti	            100
127	Panama	             76
128	Honduras	             75
129	Isle of Man	             63
130	Nepal	             59
131	Saint Kitts and Nevis	             50
132	Paraguay	             36
133	Christmas Island	             18
134	Liechtenstein	              9
